starName,starId
Paul Hogan,1186
Beverly D'Angelo,1187
Kamala Lopez,1188
Barbara Sukowa,1189
Ian Richardson,1190
Bebe Neuwirth,1191
Nick Stahl,1192
Margaret Whitton,1193
Fay Masterson,1194
Jerry Adler,1195
Lynn Cohen,1196
Tyrin Turner,1197
June Kyoto Lu,1198
Toshi Toda,1199
Tatsuya Fuji,1200
Eiko Matsuda,1201
Aoi Nakajima,1202
Yasuko Matsui,1203
Tom Noonan,1204
Karen Sillas,1205
Kate Beckinsale,1206
Harvey Fierstein,1207
Lesley Sharp,1208
Greg Cruttwell,1209
Kevin Dillon,1210
Hilary Swank,1211
Constance Towers,1212
Julia Louis-Dreyfus,1213
Tilda Swinton,1214
Quentin Crisp,1215
Jimmy Somerville,1216
T.J. Lowther,1217
Roberta Maxwell,1218
Buzz Kilman,1219
Anna Paquin,1220
Janet Jackson,1221
Regina King,1222
Craig Sheffer,1223
Eric Thal,1224
Julie Warner,1225
Brian Benben,1226
Ned Beatty,1227
George Burns,1228
Judy Davis,1229
Robert J. Steinmiller Jr.,1230
John Haycraft,1231
Gregory Hines,1232
Ed Begley Jr.,1233
Robert John Burke,1234
Nancy Allen,1235
Mario Machado,1236
Remy Ryan,1237
Roger Rees,1238
Amy Yasbeck,1239
Lena Olin,1240
Wallace Wood,1241
Daniel Pollock,1242
Jacqueline McKenzie,1243
Alex Scott,1244
Sean Astin,1245
Jon Favreau,1246
Greta Lind,1247
Ashley Judd,1248
Todd Field,1249
Bentley Mitchum,1250
Allison Dean,1251
Cyril Collard,1252
Carlos López,1253
Corine Blue,1254
Anne Twomey,1255
Max Pomeranc,1256
Kate Maberly,1257
Maggie Smith,1258
Heydon Prowse,1259
Andrew Knott,1260
Kathleen Turner,1261
Sam Waterston,1262
Ricki Lake,1263
Julian Fellowes,1264
Roddy Maude-Roxby,1265
Catherine O'Hara,1266
Ross Malinger,1267
Rita Wilson,1268
Tom Berenger,1269
Rutger Hauer,1270
Carla Gugino,1271
Lane Smith,1272
